group,category_name,category_name_full,reference,name,filename,min_wavelength,max_wavelength,filename_no_ext
glass,SCHOTT-BaK,SCHOTT - BaK (Barium crown),N-BAK4,N-BAK4,glass/schott/N-BAK4.yml,0.334,2.5,N-BAK4
glass,SCHOTT-BaK,SCHOTT - BaK (Barium crown),N-BAK4HT,N-BAK4HT,glass/schott/N-BAK4HT.yml,0.334,2.5,N-BAK4HT
glass,SCHOTT-FK,SCHOTT - FK (Fluor crown),FK3,FK3,glass/schott/FK3.yml,0.3,2.5,FK3
glass,SCHOTT-FK,SCHOTT - FK (Fluor crown),FK5HTi,FK5HTi,glass/schott/FK5HTi.yml,0.25,2.5,FK5HTi
glass,SCHOTT-FK,SCHOTT - FK (Fluor crown),N-FK5,N-FK5,glass/schott/N-FK5.yml,0.27,2.5,N-FK5
glass,SCHOTT-FK,SCHOTT - FK (Fluor crown),N-FK51,N-FK51,glass/schott/N-FK51.yml,0.29,2.5,N-FK51
glass,SCHOTT-FK,SCHOTT - FK (Fluor crown),N-FK51A,N-FK51A,glass/schott/N-FK51A.yml,0.29,2.5,N-FK51A
glass,SCHOTT-FK,SCHOTT - FK (Fluor crown),N-FK58,N-FK58,glass/schott/N-FK58.yml,0.26,2.5,N-FK58
glass,SCHOTT-LaK,SCHOTT - LaK (Lanthanum crown),LAK9G15,LAK9G15,glass/schott/LAK9G15.yml,0.39,2.5,LAK9G15
glass,SCHOTT-LaK,SCHOTT - LaK (Lanthanum crown),LAKL12,LAKL12,glass/schott/LAKL12.yml,0.32,2.5,LAKL12
glass,SCHOTT-LaK,SCHOTT - LaK (Lanthanum crown),N-LAK7,N-LAK7,glass/schott/N-LAK7.yml,0.3,2.5,N-LAK7
glass,SCHOTT-LaK,SCHOTT - LaK (Lanthanum crown),N-LAK8,N-LAK8,glass/schott/N-LAK8.yml,0.31,2.5,N-LAK8
glass,SCHOTT-LaK,SCHOTT - LaK (Lanthanum crown),N-LAK9,N-LAK9,glass/schott/N-LAK9.yml,0.32,2.5,N-LAK9
glass,SCHOTT-LaK,SCHOTT - LaK (Lanthanum crown),N-LAK10,N-LAK10,glass/schott/N-LAK10.yml,0.35,2.5,N-LAK10
glass,SCHOTT-LaK,SCHOTT - LaK (Lanthanum crown),N-LAK12,N-LAK12,glass/schott/N-LAK12.yml,0.32,2.5,N-LAK12
glass,SCHOTT-LaK,SCHOTT - LaK (Lanthanum crown),N-LAK14,N-LAK14,glass/schott/N-LAK14.yml,0.31,2.5,N-LAK14
glass,SCHOTT-LaK,SCHOTT - LaK (Lanthanum crown),N-LAK21,N-LAK21,glass/schott/N-LAK21.yml,0.32,2.5,N-LAK21
glass,SCHOTT-LaK,SCHOTT - LaK (Lanthanum crown),N-LAK22,N-LAK22,glass/schott/N-LAK22.yml,0.31,2.5,N-LAK22
glass,SCHOTT-LaK,SCHOTT - LaK (Lanthanum crown),N-LAK33A,N-LAK33A,glass/schott/N-LAK33A.yml,0.32,2.5,N-LAK33A
glass,SCHOTT-LaK,SCHOTT - LaK (Lanthanum crown),N-LAK33B,N-LAK33B,glass/schott/N-LAK33B.yml,0.3,2.5,N-LAK33B
glass,SCHOTT-LaK,SCHOTT - LaK (Lanthanum crown),N-LAK34,N-LAK34,glass/schott/N-LAK34.yml,0.29,2.5,N-LAK34
glass,SCHOTT-LaK,SCHOTT - LaK (Lanthanum crown),P-LAK35,P-LAK35,glass/schott/P-LAK35.yml,0.3,2.5,P-LAK35
glass,SCHOTT-PK,SCHOTT - PK (Phosphate crown),N-PK51,N-PK51,glass/schott/N-PK51.yml,0.3,2.5,N-PK51
glass,SCHOTT-PK,SCHOTT - PK (Phosphate crown),N-PK52A,N-PK52A,glass/schott/N-PK52A.yml,0.29,2.5,N-PK52A
glass,SCHOTT-PK,SCHOTT - PK (Phosphate crown),P-PK53,P-PK53,glass/schott/P-PK53.yml,0.32,2.5,P-PK53
glass,SCHOTT-PSK,SCHOTT - PSK (Dense phosphate crown),N-PSK3,N-PSK3,glass/schott/N-PSK3.yml,0.3,2.5,N-PSK3
glass,SCHOTT-PSK,SCHOTT - PSK (Dense phosphate crown),N-PSK53,N-PSK53,glass/schott/N-PSK53.yml,0.32,2.5,N-PSK53
glass,SCHOTT-PSK,SCHOTT - PSK (Dense phosphate crown),N-PSK53A,N-PSK53A,glass/schott/N-PSK53A.yml,0.32,2.5,N-PSK53A
glass,SCHOTT-F,SCHOTT - F (Flint),F2,F2,glass/schott/F2.yml,0.334,2.5,F2
glass,SCHOTT-F,SCHOTT - F (Flint),F2G12,F2G12,glass/schott/F2G12.yml,0.4,2.5,F2G12
glass,SCHOTT-F,SCHOTT - F (Flint),F2HT,F2HT,glass/schott/F2HT.yml,0.334,2.5,F2HT
glass,SCHOTT-F,SCHOTT - F (Flint),F5,F5,glass/schott/F5.yml,0.334,2.5,F5
glass,SCHOTT-F,SCHOTT - F (Flint),N-F2,N-F2,glass/schott/N-F2.yml,0.365,2.5,N-F2
glass,SCHOTT-LF,SCHOTT - LF (Light flint),LF5,LF5,glass/schott/LF5.yml,0.32,2.325,LF5
glass,SCHOTT-LF,SCHOTT - LF (Light flint),LF5G15,LF5G15,glass/schott/LF5G15.yml,0.39,2.5,LF5G15
glass,SCHOTT-LF,SCHOTT - LF (Light flint),LF5G19,LF5G19,glass/schott/LF5G19.yml,0.4,2.5,LF5G19
glass,SCHOTT-LF,SCHOTT - LF (Light flint),LF5HTi,LF5HTi,glass/schott/LF5HTi.yml,0.32,2.5,LF5HTi
glass,SCHOTT-LLF,SCHOTT - LLF (Very light flint),LLF1,LLF1,glass/schott/LLF1.yml,0.31,2.5,LLF1
glass,SCHOTT-LLF,SCHOTT - LLF (Very light flint),LLF1HTi,LLF1HTi,glass/schott/LLF1HTi.yml,0.31,2.5,LLF1HTi
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),SF1,SF1,glass/schott/SF1.yml,0.35,2.5,SF1
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),SF2,SF2,glass/schott/SF2.yml,0.35,2.5,SF2
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),SF4,SF4,glass/schott/SF4.yml,0.365,2.5,SF4
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),SF5,SF5,glass/schott/SF5.yml,0.35,2.5,SF5
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),SF6,SF6,glass/schott/SF6.yml,0.365,2.5,SF6
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),SF6G05,SF6G05,glass/schott/SF6G05.yml,0.46,2.5,SF6G05
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),SFL6,SFL6,glass/schott/SFL6.yml,0.37,2.325,SFL6
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),SF10,SF10,glass/schott/SF10.yml,0.38,2.5,SF10
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),SF11,SF11,glass/schott/SF11.yml,0.39,2.5,SF11
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),SF14,SF14,glass/schott/SF14.yml,0.39,2.5,SF14
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),SF15,SF15,glass/schott/SF15.yml,0.37,2.5,SF15
